borough,neighbourhood,listings,avg_total_price,avg_review_rate
Brooklyn,Bedford-Stuyvesant,7881,747.7611914731633,3.281309478492577
Brooklyn,Williamsburg,7708,750.376046964193,3.2439024390243905
Manhattan,Harlem,5431,752.350263303259,3.228871294420917
Brooklyn,Bushwick,4937,759.7157929916954,3.276078590236986
Manhattan,Hell's Kitchen,3945,745.2959518377693,3.2803548795944235
Manhattan,Upper West Side,3833,740.0469736498826,3.242368901643621
Manhattan,Upper East Side,3644,742.9368276619099,3.250548847420417
Manhattan,East Village,3458,741.6104916136495,3.2715442452284558
Manhattan,Midtown,3347,731.7471347475351,3.308933373170003
Brooklyn,Crown Heights,3240,740.7522777777777,3.2848765432098768
Manhattan,East Harlem,2315,753.0484578833693,3.320950323974082
Manhattan,Chelsea,2271,759.9960193747248,3.2650814619110524
Brooklyn,Greenpoint,2128,734.6412875939849,3.2156954887218046
Manhattan,Lower East Side,1931,751.4474210253754,3.3184878301398237
Queens,Astoria,1863,766.5621846484166,3.229736983360172
Manhattan,Washington Heights,1770,722.8643898305085,3.26271186440678
Manhattan,Financial District,1478,749.2060351826793,3.42489851150203
Manhattan,West Village,1468,765.9247683923707,3.244550408719346
Brooklyn,Flatbush,1283,780.5739594699922,3.236165237724084
Brooklyn,East Flatbush,1205,773.8755767634855,3.296265560165975
Brooklyn,Prospect-Lefferts Gardens,1156,774.6972923875433,3.2975778546712804
Queens,Long Island City,1142,776.7632924693521,3.274080560420315
Brooklyn,Clinton Hill,1131,758.8298496905394,3.222811671087533
Brooklyn,Park Slope,999,728.8665365365366,3.235235235235235
Queens,Flushing,980,759.848081632653,3.293877551020408
Manhattan,Murray Hill,954,740.8111844863731,3.3721174004192873
Brooklyn,Fort Greene,938,736.3917697228145,3.1940298507462686
Manhattan,Kips Bay,912,732.9481688596491,3.383771929824561
Queens,Ridgewood,901,768.718024417314,3.3995560488346284
Brooklyn,Sunset Park,863,756.4240556199304,3.1935110081112397
Manhattan,Chinatown,787,755.3316391359593,3.1893265565438376
Queens,Sunnyside,787,735.5894536213469,3.3875476493011436
Manhattan,Greenwich Village,738,767.1382113821138,3.230352303523035
Brooklyn,Prospect Heights,694,778.918097982709,3.126801152737752
Manhattan,Gramercy,688,737.6066279069768,3.2994186046511627
Queens,Ditmars Steinway,684,748.1842105263158,3.3859649122807016
Manhattan,SoHo,677,762.2371048744461,3.2821270310192023
Manhattan,Morningside Heights,629,752.1643084260731,3.2639109697933226
Queens,Jamaica,613,748.7764926590538,3.4045676998368677
Brooklyn,East New York,601,726.3235108153078,3.346089850249584
Queens,Woodside,579,763.411554404145,3.4058721934369602
Brooklyn,South Slope,566,777.2232685512367,3.1802120141342756
Manhattan,Theater District,564,762.8599290780141,3.398936170212766
Manhattan,Inwood,545,794.1882201834862,3.18348623853211
Queens,Elmhurst,528,759.6540530303031,3.367424242424242
Manhattan,Nolita,526,757.5103041825095,3.214828897338403
Brooklyn,Gowanus,492,771.8252032520326,3.1422764227642275
Queens,East Elmhurst,481,802.950103950104,3.3555093555093554
Brooklyn,Carroll Gardens,475,770.074947368421,3.2757894736842106
Queens,Jackson Heights,445,754.2674157303371,3.30561797752809
Brooklyn,Canarsie,397,754.8035264483627,3.3828715365239295
Brooklyn,Sheepshead Bay,368,749.5667119565217,3.239130434782609
Brooklyn,Kensington,367,733.4223433242507,3.326975476839237
Brooklyn,Boerum Hill,357,750.4768627450981,3.2941176470588234
Manhattan,Tribeca,342,761.385,3.181286549707602
Brooklyn,Cypress Hills,333,746.3303303303303,3.324324324324324
Brooklyn,Windsor Terrace,330,695.7128484848485,3.103030303030303
Brooklyn,Brooklyn Heights,306,722.9281045751634,3.1470588235294117
Queens,Forest Hills,302,708.2350993377484,3.380794701986755
Brooklyn,Bay Ridge,301,738.3161794019934,3.129568106312292
Manhattan,Little Italy,276,733.7609420289855,3.1739130434782608
Brooklyn,Borough Park,266,734.1395488721804,3.473684210526316
Queens,Maspeth,254,717.4842519685039,3.322834645669291
Queens,Springfield Gardens,246,739.9878048780488,3.3658536585365852
Queens,Rego Park,234,765.3296153846154,3.2905982905982905
Brooklyn,Midwood,233,718.1545064377682,3.48068669527897
Queens,Arverne,219,782.3150684931506,3.2420091324200913
Queens,Richmond Hill,219,672.5068493150685,3.3424657534246576
Brooklyn,Flatlands,216,771.8611111111111,3.1666666666666665
Queens,St. Albans,214,737.4719626168225,3.439252336448598
Brooklyn,Cobble Hill,197,765.2131979695431,3.1725888324873095
Queens,Woodhaven,189,750.4794708994709,3.328042328042328
Queens,Rockaway Beach,186,766.9516129032259,3.349462365591398
Brooklyn,Red Hook,177,758.542372881356,3.1186440677966103
Brooklyn,Downtown Brooklyn,175,715.7371428571429,3.4
Queens,Rosedale,171,727.4035087719299,3.52046783625731
Brooklyn,Brighton Beach,168,790.077380952381,3.4047619047619047
Bronx,Kingsbridge,163,688.920245398773,3.3680981595092025
Queens,Corona,160,732.0625,3.26875
Bronx,Wakefield,159,758.2394968553459,3.339622641509434
Manhattan,Roosevelt Island,158,755.5949367088608,3.2531645569620253
Manhattan,Flatiron District,156,735.6346153846154,3.2884615384615383
Brooklyn,Bensonhurst,156,711.2628205128206,3.2756410256410255
Brooklyn,Brownsville,153,804.3137254901961,3.4705882352941178
Bronx,Fordham,151,769.9006622516556,3.2781456953642385
Queens,Ozone Park,150,784.8653333333333,3.533333333333333
Bronx,Mott Haven,149,723.1409395973154,3.3758389261744965
Queens,Queens Village,145,792.1586206896552,3.220689655172414
Brooklyn,Gravesend,139,846.6711510791366,3.2805755395683454
Manhattan,NoHo,139,797.0426618705036,3.352517985611511
Queens,Glendale,138,786.5217391304348,3.0217391304347827
Bronx,Longwood,133,805.172932330827,3.3233082706766917
Manhattan,Two Bridges,132,745.3039393939393,3.3181818181818183
Queens,South Ozone Park,127,723.2204724409448,3.3858267716535435
Staten Island,St. George,125,782.344,3.432
Bronx,Concourse,123,809.3252032520326,3.089430894308943
Queens,Bayside,122,675.9918032786885,3.2459016393442623
Brooklyn,Fort Hamilton,120,682.875,3.475
Queens,Briarwood,119,844.2605042016806,3.563025210084034
Manhattan,Battery Park City,117,709.8699145299145,3.2222222222222223
Staten Island,Tompkinsville,109,739.2293577981651,3.376146788990826
Manhattan,Civic Center,106,745.9150943396227,3.4716981132075473
Bronx,Port Morris,99,690.3636363636364,3.313131313131313
Bronx,Parkchester,97,758.5463917525773,3.3092783505154637
Queens,Fresh Meadows,97,678.3298969072165,3.0721649484536084
Bronx,Williamsbridge,96,754.5104166666666,3.5208333333333335
Bronx,Allerton,95,763.5473684210526,3.2842105263157895
Brooklyn,Columbia St,88,854.6477272727273,3.3863636363636362
Manhattan,Stuyvesant Town,83,817.0240963855422,3.216867469879518
Queens,Kew Gardens,83,765.6265060240963,3.36144578313253
Queens,Cambria Heights,78,823.6794871794872,3.3205128205128207
Queens,Far Rockaway,78,757.7179487179487,3.6025641025641026
Bronx,Concourse Village,76,656.3815789473684,3.3815789473684212
Bronx,Norwood,75,752.16,3.08
Bronx,Pelham Gardens,74,733.6670270270271,3.3378378378378377
Brooklyn,Vinegar Hill,72,762.2638888888889,3.1666666666666665
Brooklyn,DUMBO,70,681.8571428571429,2.8714285714285714
Bronx,Highbridge,67,811.223880597015,3.029850746268657
Queens,Middle Village,67,698.044776119403,3.2686567164179103
